what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244182543
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244183502
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244184397
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1266244185247
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266244185408
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1266244213799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266244215135
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244219267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244220082
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244221305
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1266244225781
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266244225930
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1266244230815
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266244231010
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1266244235461
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266244235584
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266244241340
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266244244388
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244247615
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244248426
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244250174
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266244263928
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266244267504
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244268403
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266244269705
