what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245865206
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266245867493
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245868276
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245869382
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266245871608
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266245887761
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245890805
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1266245904138
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245904200
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266245905439
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266245908068
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245908967
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266245911522
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266245966018
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266245972388
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266248901618
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266248908283
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1266248922081
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266248922141
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1266248928289
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266248929073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266248930297
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1266248931601
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1266248931909
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1266248932061
